,NAME,comorb,Proportion,Year
44,Texas,4,31.48148148,2010
44,Texas,5,42.37288136,2010
45,Utah,1,17.56097561,2010
45,Utah,2,23.14814815,2010
45,Utah,3,32.95454545,2010
45,Utah,4,53.84615385,2010
45,Utah,5,25,2010
46,Virginia,1,12.73712737,2010
46,Virginia,2,10.14492754,2010
46,Virginia,3,16.66666667,2010
46,Virginia,4,37.77777778,2010
46,Virginia,5,23.91304348,2010
47,Vermont,1,6.818181818,2010
47,Vermont,2,14.90384615,2010
47,Vermont,3,14,2010
47,Vermont,4,22.22222222,2010
47,Vermont,5,40,2010
48,Washington,1,13.90243902,2010
48,Washington,2,16.50943396,2010
48,Washington,3,21.27659574,2010
48,Washington,4,35.29411765,2010
48,Washington,5,62.06896552,2010
49,Wisconsin,1,12.10653753,2010
49,Wisconsin,2,17.54385965,2010
49,Wisconsin,3,24.3902439,2010
49,Wisconsin,4,28.57142857,2010
49,Wisconsin,5,38.70967742,2010
50,West Virginia,1,10.0286533,2010
50,West Virginia,2,13.15789474,2010
50,West Virginia,3,18.01801802,2010
50,West Virginia,4,38.29787234,2010
50,West Virginia,5,56.52173913,2010
51,Wyoming,1,14.92957746,2010
51,Wyoming,2,14.16666667,2010
51,Wyoming,3,21.78217822,2010
51,Wyoming,4,33.33333333,2010
51,Wyoming,5,36.36363636,2010
